Company,Model,Fuel,SeatsBand,EngineBand,peer_id,hp,tq,vmax,acc_sec,cc,price,log_price,z_hp,z_tq,z_vmax,z_acc,z_eff,z_price,perf,price_index,VFM_ratio,VFM_diff,price_pred,price_resid,overpriced_pct
Ford,Mustang Shelby GT500,Petrol,2,large,Petrol | 2 | large,760,847,290,3.5,5200,79420,11.2825055,0.5020920502,0.9051490515,-0.9210526316,-0.625,0.001601281025,-0.8367909323,0.04763156561,0.433098137,0.1099786897,0.8844224979,12.62995978,-1.347454275,-74.00989442
Chevrolet,Camaro ZL1,Petrol,4–5,large,Petrol | 4–5 | large,650,881,318,3.5,6200,67300,11.11691552,0.5085714286,0.5432098765,0.8888888889,0.5858585859,-0.7803493837,-0.2408155621,0.5425740011,0.7859865787,0.6903094986,0.7833895632,12.42199846,-1.305082946,-72.88499566
Chevrolet,Corvette,Petrol,2,large,Petrol | 2 | large,495,637,312,3,6200,65895,11.09581785,-0.6066945607,-0.2330623306,-0.3421052632,0,-0.3987189752,-0.9607700265,-0.3473125637,0.3825981618,-0.9077737387,0.6134574628,12.25389128,-1.158073439,-68.59092868
Chevrolet,Corvette Stingray,Petrol,2,large,Petrol | 2 | large,495,637,312,3,6200,65895,11.09581785,-0.6066945607,-0.2330623306,-0.3421052632,0,-0.3987189752,-0.9607700265,-0.3473125637,0.3825981618,-0.9077737387,0.6134574628,12.25389128,-1.158073439,-68.59092868
Tesla,Roadster 2,Electric,4–5,EV,Electric | 4–5 | EV,1068.24,2948,336.4,2.064,200,191800,12.16420844,2.901354582,7.056497175,1.948571429,1.100350877,0,1.546146451,3.036558,4.693349239,0.6469916993,1.490411549,13.25832272,-1.094114278,-66.51639526
Chevrolet,Camaro SS,Petrol,4–5,large,Petrol | 4–5 | large,455,617,290,4.3,6200,43500,10.68051622,-0.2342857143,-0.07760141093,0.522875817,0.2626262626,-0.7803493837,-0.5169555768,0.02056266455,0.5963332781,0.03448183308,0.5375182414,11.72333088,-1.042814665,-64.75387759
Cadillac,CT5-V Blackwing,Petrol,4–5,large,Petrol | 4–5 | large,660.62,893,320,3.4,6200,92000,11.42954386,0.5490285714,0.5714285714,0.9150326797,0.6262626263,-0.7803493837,-0.04299399185,0.5756873063,0.9579171454,0.6009781839,0.6186812982,12.46631779,-1.036773935,-64.54032091
Tesla,Model S Plaid,Electric,4–5,EV,Electric | 4–5 | EV,1020,1400,322,2.1,100,108490,11.59441328,2.709163347,2.683615819,1.742857143,1.087719298,0,0.8032551112,2.051045623,2.232797115,0.9185991909,1.247790512,12.51287257,-0.9184592891,-60.0866483
Ford,Mustang Shelby GT350,Petrol,2,large,Petrol | 2 | large,526,582,280,4,5200,59140,10.98766279,-0.4769874477,-0.5311653117,-1.184210526,-1.25,0.001601281025,-1.032595692,-0.7599407102,0.3560814822,-2.134176441,0.2726549815,11.86098395,-0.873321154,-58.24375454
Cadillac,CT4-V Blackwing,Petrol,4–5,large,Petrol | 4–5 | large,472,603,290,3.9,3600,60495,11.010316,-0.1695238095,-0.1105232216,0.522875817,0.4242424242,0.1418817061,-0.3082684499,0.1150797559,0.7347180565,0.1566311796,0.4233482058,11.84983393,-0.8395179386,-56.80813154
Tata Motors,Tiago EV,Electric,4–5,EV,Electric | 4–5 | EV,74,114,120,5.7,24,13870,9.537483513,-1.059760956,-0.9491525424,-1.142857143,-0.1754385965,0,-1.878542524,-0.824405991,0.1528126643,-5.39488003,1.054136533,10.33785592,-0.8003724026,-55.0838336
Chevrolet,Corvette Grand Sport,Petrol,2,large,Petrol | 2 | large,460,630,290,3.9,6200,65900,11.09589372,-0.7531380753,-0.27100271,-0.9210526316,-1.125,-0.3987189752,-0.9607196377,-0.7469453434,0.3826174409,-1.95219889,0.2137742943,11.87335822,-0.7774645039,-54.04302273
Tata Motors,Indica V2 Xeta,Petrol,4–5,small,Petrol | 4–5 | small,65,100,140,16,1200,5110,8.538954683,-0.6346153846,-0.4149377593,-1,-1.190751445,0,-1.593570964,-0.7432532255,0.2031986993,-3.657765664,0.8503177387,9.313978968,-0.7750242843,-53.93074067
Ford,F-450 Super Duty,Diesel,2,large,Diesel | 2 | large,475,1424,165,8.533,6700,61945.65,11.03401267,0,-0.5088339223,4,2.46944,1.099099099,-1.075110134,1.247076171,0.341260169,3.654326768,2.322186304,11.79249247,-0.7584798047,-53.1622088
Tata Motors,Tigor EV,Electric,4–5,EV,Electric | 4–5 | EV,74,114,120,5.7,26,14500,9.581903928,-1.059760956,-0.9491525424,-1.142857143,-0.1754385965,0,-1.820627779,-0.824405991,0.1619240666,-5.091312296,0.9962217876,10.33785592,-0.7559519875,-53.04366166
Bugatti,Chiron Super Sport,Petrol,2,large,Petrol | 2 | large,1600,1600,490,2.4,8000,3500000,15.06827353,4.016736402,4.986449864,4.342105263,0.75,-1.119295436,1.677333951,3.365603994,5.351270186,0.6289355382,1.688270044,15.78935577,-0.7210822427,-51.37742432
Ford,F-550 Super Duty,Diesel,2,large,Diesel | 2 | large,475,1424,165,8.8,6700,64540,11.07504047,0,-0.5088339223,4,2.384,1.099099099,-0.9777955597,1.229988171,0.3761393624,3.270033114,2.20778373,11.78939745,-0.7143569854,-51.04932294
NISSAN,Z PROTO,Petrol,2,mid,Petrol | 2 | mid,400,475,288.6,4.1,2998,40000,10.59663473,0.5434782609,0.376984127,0.6433333333,0.375,-1.002008032,-0.1399567826,0.4191804818,0.8693958076,0.4821514874,0.5591372644,11.30161254,-0.7049778051,-50.58804589
BMW,M135i XDRIVE,Petrol,4–5,mid,Petrol | 4–5 | mid,302,450,250,4.8,1998,30000,10.30895266,0.6733333333,0.7255139057,0.6666666667,0.8346456693,0.002222222222,-0.09310940439,0.6811430261,0.9110938172,0.7476101948,0.7742524305,10.99036543,-0.6814127697,-49.40982354
AUDI,RS6 AVANT,Petrol,4–5,large,Petrol | 4–5 | large,591,800,305,3.6,3993,109000,11.59910316,0.2838095238,0.3527336861,0.7189542484,0.5454545455,0.002482929857,0.06429790613,0.4228859758,1.066410042,0.396551007,0.3585880697,12.26180626,-0.6627031031,-48.45438814
NISSAN,GT-R,Petrol,4–5,large,Petrol | 4–5 | large,600,637,315,2.9,3799,113000,11.6351431,0.3180952381,-0.03057025279,0.8496732026,0.8282828283,0.07129555733,0.08710286623,0.4443752668,1.091008902,0.4073067287,0.3572724006,12.29056784,-0.6554247468,-48.07785219
Chevrolet,Camaro,Petrol,4–5,mid,Petrol | 4–5 | mid,275,400,240,5.4,2000,26400,10.18111929,0.4933333333,0.4836759371,0.5,0.6456692913,0,-0.2775339755,0.4985357124,0.7576498226,0.6580028101,0.7760696879,10.82634566,-0.6452263747,-47.54562148
Ford,Mustang,Petrol,4–5,large,Petrol | 4–5 | large,450,530,250,4.3,5000,55000,10.91508846,-0.2533333333,-0.2821869489,0,0.2626262626,-0.3547042653,-0.3685254946,-0.1103140172,0.6917535734,-0.1594701082,0.2582114774,11.54816362,-0.6330751604,-46.90434885
Jaguar Land Rover,Jaguar F-Type SVR,Petrol,2,large,Petrol | 2 | large,575,700,320,3.7,5000,120000,11.69524702,-0.2719665272,0.108401084,-0.1315789474,-0.875,0.08166533227,-0.5626896899,-0.2707405906,0.569674753,-0.4752546768,0.2919490993,12.32680364,-0.6315566181,-46.82365961
Jaguar Land Rover,Jaguar F-PACE SVR,Petrol,4–5,large,Petrol | 4–5 | large,550,700,283,4,5000,85000,11.35040654,0.1276190476,0.1175778954,0.431372549,0.3838383838,-0.3547042653,-0.09306964719,0.213489219,0.9111300404,0.2343125674,0.3065588662,11.98154659,-0.6311400585,-46.80150388
NISSAN,370Z,Petrol,2,large,Petrol | 2 | large,332,366,250,4.7,3696,34680,10.45391843,-1.288702929,-1.701897019,-1.973684211,-2.125,0.6036829464,-1.387054807,-1.580978124,0.2498099608,-6.328723316,-0.1939233168,11.07918652,-0.6252680884,-46.48820496
AUDI,RS7 SPORTBACK,Petrol,4–5,large,Petrol | 4–5 | large,591,800,305,3.6,3993,114000,11.64395373,0.2838095238,0.3527336861,0.7189542484,0.5454545455,0.002482929857,0.09267796091,0.4228859758,1.097108367,0.3854550641,0.3302080149,12.26180626,-0.6178525369,-46.08991053
AUDI,S8,Petrol,4–5,large,Petrol | 4–5 | large,563,800,305,4.3,3993,101000,11.5228758,0.1771428571,0.3527336861,0.7189542484,0.2626262626,0.002482929857,0.01606358067,0.3289869859,1.016193294,0.3237444962,0.3129234052,12.13613049,-0.6132546922,-45.8414696
Jaguar Land Rover,Jaguar F-Type V8 R,Petrol,2,large,Petrol | 2 | large,550,680,300,3.9,5000,100000,11.51292546,-0.3765690377,0,-0.6578947368,-1.125,0.08166533227,-0.6837692594,-0.4842948439,0.5047110158,-0.9595487889,0.1994744155,12.12345582,-0.6105303575,-45.69372247
Jaguar Land Rover,Jaguar F-Type 75th Anniversary Edition,Petrol,2,large,Petrol | 2 | large,550,680,300,3.9,5000,100000,11.51292546,-0.3765690377,0,-0.6578947368,-1.125,0.08166533227,-0.6837692594,-0.4842948439,0.5047110158,-0.9595487889,0.1994744155,12.12345582,-0.6105303575,-45.69372247
Jaguar Land Rover,Jaguar F-Type Coupe R,Petrol,2,large,Petrol | 2 | large,550,680,300,3.9,5000,100000,11.51292546,-0.3765690377,0,-0.6578947368,-1.125,0.08166533227,-0.6837692594,-0.4842948439,0.5047110158,-0.9595487889,0.1994744155,12.12345582,-0.6105303575,-45.69372247
Tata Motors,Indigo GLX,Petrol,4–5,small,Petrol | 4–5 | small,85,115,160,15,1400,7200,8.881836305,-0.25,-0.2904564315,-0.5,-0.9595375723,-0.5,-1.144411298,-0.4624988008,0.3184113121,-1.452520005,0.6819124968,9.49144089,-0.6096045852,-45.64342395
Kia,Stinger GT,Petrol,4–5,large,Petrol | 4–5 | large,365,510,270,4.7,3300,51500,10.84933709,-0.5771428571,-0.329218107,0.2614379085,0.101010101,0.2482929857,-0.4101309381,-0.1829393702,0.6635633587,-0.2756923929,0.2271915679,11.45096079,-0.6016237073,-45.20787503
MAHINDRA,XUV500,Diesel,6–7,mid,Diesel | 6–7 | mid,155,400,180,10.5,2200,18400,9.820105944,0.01058201058,0.3571428571,0,0.25,0,-1.226504445,0.1251322751,0.2933160903,0.4266123792,1.35163672,10.41611594,-0.596009994,-44.89942278
TOYOTA,CAMRY,Petrol,4–5,large,Petrol | 4–5 | large,301,266.4,220,6,3500,28820,10.26882487,-0.820952381,-0.9020576132,-0.3921568627,-0.4242424242,0.1773521327,-0.7774611622,-0.6221571067,0.4595713084,-1.353777086,0.1553040555,10.86310538,-0.5942805061,-44.80404454
MERCEDES,BENZ E-CLASS E 63 S,Petrol,4–5,large,Petrol | 4–5 | large,603,850,250,3.4,3982,104000,11.55214618,0.3295238095,0.4703115814,0,0.6262626263,0.006384676776,0.0345849757,0.3349674087,1.035189991,0.3235806101,0.300382433,12.14413477,-0.5919885949,-44.67739524
Tata Motors,Tiago,Petrol,4–5,small,Petrol | 4–5 | small,86,113,170,13,1200,8200,9.011889433,-0.2307692308,-0.3070539419,-0.25,-0.4971098266,0,-0.9740474869,-0.2916019845,0.3775518054,-0.7723495963,0.6824455024,9.599462973,-0.5875735394,-44.43260287
Bugatti,Bolide,Petrol,2,large,Petrol | 2 | large,1655,1600,492.2,2.278,8000,4500000,15.31958795,4.246861925,4.986449864,4.4,0.9025,-1.119295436,1.844231619,3.488226875,6.323239269,0.551651887,1.643995255,15.90611811,-0.586530158,-44.37459463
Nissan,Z (Fairlady Z),Petrol,2,mid,Petrol | 2 | mid,400,475,250,4.5,3000,40000,10.59663473,0.5434782609,0.376984127,0,0.25,-1.004016064,-0.1399567826,0.2654134135,0.8693958076,0.3052849015,0.4053701961,11.17927898,-0.5826442475,-44.15801876
BMW,M550i XDRIVE,Petrol,4–5,large,Petrol | 4–5 | large,523,650,250,3.6,4395,78000,11.26446411,0.02476190476,0,0,0.5454545455,-0.1401081848,-0.1474513657,0.1107521665,0.862904404,0.1283481299,0.2582035322,11.84404183,-0.5795777203,-43.98651498
AUDI,S7 SPORTBACK,Petrol,4–5,large,Petrol | 4–5 | large,563,650,305,4.3,3993,96000,11.47210347,0.1771428571,0,0.7189542484,0.2626262626,0.002482929857,-0.01606358067,0.2584402487,0.9840647506,0.2626252475,0.2745038294,12.04170971,-0.5696062366,-43.42518342
Volkswagen,Polo,Diesel,4–5,mid,Diesel | 4–5 | mid,200,175,190,9.5,1600,18000,9.798127037,0.4207119741,-1.206896552,0.2,-0.06993006993,0.7920792079,-1.383930784,-0.028512173,0.2505915933,-0.1137794474,1.355418611,10.35012801,-0.5520009733,-42.42034965
Tata Motors,Zest,Petrol,4–5,small,Petrol | 4–5 | small,90,190,165,15,1200,8700,9.071078305,-0.1538461538,0.3319502075,-0.375,-0.9595375723,0,-0.8965126992,-0.2543636268,0.4079899655,-0.6234555952,0.6421490724,9.623000947,-0.5519226427,-42.41583923
Ford,Mustang (2024),Petrol,4–5,large,Petrol | 4–5 | large,450,570,250,4.5,5000,60000,11.00209984,-0.2533333333,-0.1881246326,0,0.1818181818,-0.3547042653,-0.3134673792,-0.1076631701,0.7309082214,-0.1473005323,0.2058042092,11.55171156,-0.5496117158,-42.28261256
NISSAN,MAXIMA,Petrol,4–5,large,Petrol | 4–5 | large,300,354,240,5.8,3498,35000,10.46310334,-0.8247619048,-0.6960611405,-0.1307189542,-0.3434343434,0.1780615412,-0.6545277387,-0.5138064772,0.5196874329,-0.9886836677,0.1407212614,11.00812344,-0.5450200964,-42.01698693
Ford,Focus ST,Petrol,4–5,mid,Petrol | 4–5 | mid,280,420,250,5.7,2300,30000,10.30895266,0.5266666667,0.5804111245,0.6666666667,0.5511811024,-0.3333333333,-0.09310940439,0.5273184454,0.9110938172,0.5787751332,0.6204278498,10.85219861,-0.5432459499,-41.91402526
Ford,Ranger,Diesel,4–5,mid,Diesel | 4–5 | mid,270,400,180,7,2300,25000,10.1266311,1.326860841,0.3448275862,0,0.6293706294,-0.5940594059,-0.6042802421,0.6295379673,0.5464676095,1.152013324,1.233818209,10.66941295,-0.5427818437,-41.88706094
Tesla,Model 3 Performance,Electric,4–5,EV,Electric | 4–5 | EV,450,660,261,3.1,82,53240,10.88256527,0.438247012,0.593220339,0.8714285714,0.7368421053,0,-0.124842842,0.5936846573,0.8826356049,0.672627134,0.7185274993,11.41051204,-0.5279467657,-41.01852448
Nissan,GT-R V-Spec,Petrol,2,large,Petrol | 2 | large,600,652,330,2.8,3800,175000,12.07254125,-0.1673640167,-0.1517615176,0.1315789474,0.25,0.5620496397,-0.3121289558,0.01548856208,0.7318871411,0.02116250062,0.3276175178,12.59935299,-0.5268117394,-40.95154095
TOYOTA,TUNDRA,Petrol,4–5,large,Petrol | 4–5 | large,381,650,220,6.7,5663,39900,10.5941316,-0.5161904762,0,-0.3921568627,-0.7070707071,-0.5898731932,-0.571617096,-0.4300058403,0.5646116688,-0.7615957375,0.1416112557,11.12028343,-0.5261518276,-40.91256131
Tata Motors,Manza,Petrol,4–5,small,Petrol | 4–5 | small,90,200,160,14,1400,9000,9.104979856,-0.1538461538,0.4149377593,-0.5,-0.7283236994,-0.5,-0.8521031751,-0.2415233419,0.4265169482,-0.5662690379,0.6105798332,9.631117157,-0.5261373002,-40.91170293
